#Coverage (X)	Coverage
1.0	86.11611062335382
2.0	85.78138718173837
3.0	83.29675153643547
4.0	82.99714661984197
5.0	79.53906935908692
6.0	78.84547848990343
7.0	76.31694468832309
8.0	75.89991220368745
9.0	73.20237050043897
10.0	72.64705882352942
11.0	71.27963125548727
12.0	70.9503950834065
13.0	69.40956979806847
14.0	69.1319139596137
15.0	67.80179982440737
16.0	67.18064091308165
17.0	65.01865671641792
18.0	64.47870939420545
19.0	62.642669007901674
20.0	62.30794556628622
21.0	60.721027216856896
22.0	60.08450395083407
23.0	58.62269534679544
24.0	58.25834064969272
25.0	56.86676909569799
26.0	56.582528533801586
27.0	55.08669885864794
28.0	54.821115013169454
29.0	54.10228270412643
30.0	53.62489025460931
31.0	52.979587357331
32.0	52.60864793678666
33.0	51.703248463564535
34.0	51.46510096575944
35.0	50.92954345917472
36.0	50.6387181738367
37.0	49.85733099209833
38.0	49.368964003511856
39.0	48.23858647936787
40.0	48.03226514486391
41.0	47.07309043020193
42.0	46.63959613696225
43.0	45.43678665496049
44.0	45.13498683055312
45.0	44.12532923617208
46.0	43.688542581211586
47.0	42.80838454784899
48.0	42.230026338893765
49.0	41.16220368744513
50.0	40.757243195785776
51.0	40.083406496927125
