#Read position (bp)	Clipping profile
0.0	1.6650181338608638
1.0	1.6650181338608638
2.0	1.3353115727002967
3.0	1.0880316518298714
4.0	0.9891196834817012
5.0	0.9561490273656446
6.0	0.8077810748433895
7.0	0.7583250906693043
8.0	0.741839762611276
9.0	0.6758984503791625
10.0	0.6429277942631058
11.0	0.6099571381470491
12.0	0.6099571381470491
13.0	0.5769864820309925
14.0	0.5769864820309925
15.0	0.5769864820309925
16.0	0.5440158259149357
17.0	0.511045169798879
18.0	0.4945598417408506
19.0	0.4780745136828223
20.0	0.34619188921859545
21.0	0.34619188921859545
22.0	0.3297065611605671
23.0	0.3297065611605671
24.0	0.3297065611605671
25.0	0.26376524892845365
26.0	0.23079459281239698
27.0	0.23079459281239698
28.0	0.23079459281239698
29.0	0.23079459281239698
30.0	0.26376524892845365
31.0	0.26376524892845365
32.0	0.26376524892845365
33.0	0.23079459281239698
34.0	0.23079459281239698
35.0	0.23079459281239698
36.0	0.21430926475436862
37.0	0.21430926475436862
38.0	0.19782393669634024
39.0	0.19782393669634024
40.0	0.19782393669634024
41.0	0.19782393669634024
42.0	0.19782393669634024
43.0	0.19782393669634024
44.0	0.19782393669634024
45.0	0.19782393669634024
46.0	0.19782393669634024
47.0	0.19782393669634024
48.0	0.1813386086383119
49.0	0.21430926475436862
50.0	0.21430926475436862
51.0	0.21430926475436862
52.0	0.21430926475436862
53.0	0.21430926475436862
54.0	0.21430926475436862
55.0	0.21430926475436862
56.0	0.21430926475436862
57.0	0.1813386086383119
58.0	0.1813386086383119
59.0	0.1813386086383119
60.0	0.1813386086383119
61.0	0.1813386086383119
62.0	0.1813386086383119
63.0	0.1813386086383119
64.0	0.1813386086383119
65.0	0.19782393669634024
66.0	0.19782393669634024
67.0	0.19782393669634024
68.0	0.19782393669634024
69.0	0.21430926475436862
70.0	0.21430926475436862
71.0	0.23079459281239698
72.0	0.23079459281239698
73.0	0.23079459281239698
74.0	0.23079459281239698
75.0	0.23079459281239698
76.0	0.23079459281239698
77.0	0.21430926475436862
78.0	0.21430926475436862
79.0	0.21430926475436862
80.0	0.21430926475436862
81.0	0.21430926475436862
82.0	0.21430926475436862
83.0	0.21430926475436862
84.0	0.19782393669634024
85.0	0.19782393669634024
86.0	0.19782393669634024
87.0	0.19782393669634024
88.0	0.19782393669634024
89.0	0.19782393669634024
90.0	0.19782393669634024
91.0	0.21430926475436862
92.0	0.21430926475436862
93.0	0.19782393669634024
94.0	0.19782393669634024
95.0	0.19782393669634024
96.0	0.19782393669634024
97.0	0.19782393669634024
98.0	0.19782393669634024
99.0	0.19782393669634024
100.0	0.19782393669634024
101.0	0.19782393669634024
102.0	0.19782393669634024
103.0	0.19782393669634024
104.0	0.19782393669634024
105.0	0.19782393669634024
106.0	0.21430926475436862
107.0	0.21430926475436862
108.0	0.21430926475436862
109.0	0.21430926475436862
110.0	0.21430926475436862
111.0	0.21430926475436862
112.0	0.21430926475436862
113.0	0.21430926475436862
114.0	0.21430926475436862
115.0	0.21430926475436862
116.0	0.23079459281239698
117.0	0.21430926475436862
118.0	0.21430926475436862
119.0	0.21430926475436862
120.0	0.21430926475436862
121.0	0.21430926475436862
122.0	0.21430926475436862
123.0	0.19782393669634024
124.0	0.19782393669634024
125.0	0.19782393669634024
126.0	0.1813386086383119
127.0	0.1813386086383119
128.0	0.1813386086383119
129.0	0.1813386086383119
130.0	0.1813386086383119
131.0	0.1813386086383119
132.0	0.1813386086383119
133.0	0.1813386086383119
134.0	0.1813386086383119
135.0	0.1813386086383119
136.0	0.16485328058028356
137.0	0.16485328058028356
138.0	0.16485328058028356
139.0	0.1483679525222552
140.0	0.1483679525222552
141.0	0.1483679525222552
142.0	0.1483679525222552
143.0	0.16485328058028356
144.0	0.1483679525222552
145.0	0.1483679525222552
146.0	0.1483679525222552
147.0	0.1483679525222552
148.0	0.1483679525222552
149.0	0.1483679525222552
150.0	0.1483679525222552
151.0	0.1483679525222552
152.0	0.1483679525222552
153.0	0.1483679525222552
154.0	0.1483679525222552
155.0	0.16485328058028356
156.0	0.1483679525222552
