#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	2.1649707728945658E-4
28.0	5.412426932236414E-4
29.0	0.002381467850184022
30.0	0.003896947391210218
31.0	0.00443819008443386
32.0	0.009201125784801903
33.0	0.010608356787183373
34.0	0.016237280796709243
35.0	0.027386880277116256
36.0	0.023598181424550765
37.0	0.035613769214115604
38.0	0.030634336436458107
39.0	0.02987659666594501
40.0	0.030093093743234465
41.0	0.03225806451612903
42.0	0.025871400736090063
43.0	0.020675470881143104
44.0	0.031175579129681746
45.0	0.04405715522840442
46.0	0.0279281229703399
47.0	0.027819874431695167
48.0	0.026737389045247893
49.0	0.027495128815760987
50.0	0.023814678501840224
51.0	0.026412643429313706
52.0	0.02121671357436675
53.0	0.02662914050660316
54.0	0.045464386230785886
55.0	0.04026845637583893
56.0	0.012232084866854297
57.0	0.04037670491448366
58.0	0.047412859926390986
59.0	0.030634336436458107
60.0	0.024139424117774408
61.0	0.014288807101104136
62.0	0.02110846503572202
63.0	0.03972721368261529
64.0	0.012881576098722668
65.0	0.015587789564840877
66.0	0.011257848019051742
67.0	0.010933102403117559
68.0	0.020675470881143104
69.0	0.008443386014288805
70.0	0.005304178393591687
71.0	0.002706213466118207
72.0	8.659883091578261E-4
73.0	9.742368478025546E-4
74.0	0.001190733925092011
75.0	0.0031392076206971206
76.0	0.0012989824637367393
77.0	0.0014072310023814675
78.0	4.3299415457891317E-4
79.0	1.0824853864472829E-4
80.0	1.0824853864472829E-4
81.0	2.1649707728945658E-4
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
