ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_3031099,2674.289,0,78.00002,33,1593.7,0,60.40293,37,3080.824,0,68.59132,53,1431.289,0,68.75098,33,2813.377,0,128.7899,40,1941.036,0,51.49662,65,980.7317,0,34.80934,33,1636.505,0,59.52948,44,1816.43,0,66.18309,39,3771.045,0,139.7321,38,754.4463,0,34.61613,33,2103.878,0,80.70084,30,1561.206,0,66.85746,35,770.3365,0,34.60319,37,1292.287,0,42.82256,35,2639.513,0,88.70416,49
ILMN_2845542,78.01581,0.5651629,5.638148,37,64.9722,0.8308271,5.082623,30,67.42009,0.858396,3.518454,52,73.43289,0.452381,4.479323,37,61.25362,0.89599,3.249164,45,62.95082,0.877193,3.387817,31,64.20427,0.5877193,3.716302,32,73.73845,0.5125313,5.20819,36,63.31318,0.9423559,2.947463,40,82.436,0.5789474,3.870829,32,66.43669,0.6867168,5.988034,28,72.24776,0.7243108,7.157324,29,54.61,0.981203,3.610359,38,68.18733,0.6365915,6.192099,40,68.03764,0.7155389,2.656285,53,69.98088,0.6102757,4.49307,43
ILMN_2924299,141.9316,0.03508772,8.748927,40,178.6613,0.002506266,16.46881,33,142.0762,0.03634085,6.296323,36,102.5958,0.0952381,6.65617,27,131.4784,0.03132832,7.728937,34,137.5413,0.02380952,9.008122,44,123.5177,0.01378446,7.869383,44,128.4301,0.03258145,8.557972,29,130.8691,0.04385965,14.16584,25,152.3595,0.03383459,9.614842,47,139.3308,0.007518797,8.922073,39,147.5332,0.02005013,11.12232,42,120.5277,0.01754386,8.523015,38,96.89539,0.1077694,7.754015,24,99.20313,0.1140351,5.948097,42,112.1464,0.05764411,8.3697,25
ILMN_2647961,95.2669,0.2593985,4.900539,49,94.22021,0.1766917,6.856423,33,121.5539,0.08521304,7.443528,43,92.68031,0.1616541,5.197001,43,103.0344,0.1340852,5.276148,43,103.6054,0.1365915,7.452748,28,85.1745,0.1378446,5.006341,41,106.7442,0.1002506,7.252047,34,108.5754,0.1303258,7.86037,40,120.1633,0.1240602,7.710165,33,106.7466,0.05263158,8.400676,35,103.2248,0.1854637,6.474967,43,105.3194,0.06015038,7.188709,29,87.1168,0.1829574,5.895757,39,105.1481,0.0877193,7.558436,37,89.82626,0.1892231,4.854795,45
ILMN_2782248,222.826,0,16.38831,27,161.4902,0.01002506,12.44571,29,231.94,0.001253133,16.751,32,176.2472,0.001253133,12.72933,30,175.821,0.006265664,14.09385,33,200.515,0,14.53195,35,144.4815,0.001253133,9.96735,35,191.7543,0.001253133,16.30888,23,192.2016,0.002506266,14.18059,34,223.2008,0,16.28562,23,149.7868,0.002506266,11.39861,35,202.5525,0.001253133,18.00388,35,153.7645,0.002506266,12.29859,35,122.4734,0.02631579,11.6896,27,139.3289,0.00877193,8.339108,40,148.8477,0.007518797,10.6849,25
ILMN_2789904,74.14146,0.650376,3.930414,34,75.18396,0.4924812,6.419453,24,79.67467,0.5112782,5.125416,44,76.62183,0.3809524,7.452713,36,81.79604,0.3458647,5.436925,39,87.03152,0.2857143,7.52705,29,62.71313,0.650376,4.433625,30,76.50623,0.4310777,4.121113,48,65.34866,0.906015,5.030357,38,90.51685,0.3972431,7.611326,33,61.00652,0.8746867,5.769907,31,85.92834,0.3847118,8.974347,35,57.99284,0.9373434,3.075136,29,57.99716,0.9498747,4.111419,28,70.52749,0.6365915,4.618097,42,60.91116,0.9210526,4.938416,23
ILMN_2752989,130.6448,0.05263158,8.301684,38,89.1194,0.2343358,5.967625,39,131.3667,0.05388471,9.030503,36,134.2359,0.02380952,11.34091,28,114.7642,0.0764411,8.482623,28,105.7254,0.1290727,6.559308,40,111.4872,0.02506266,7.634853,26,119.4394,0.05388471,9.803956,32,154.3908,0.01378446,11.3976,28,128.2086,0.08897243,7.338569,40,115.4212,0.03258145,7.845898,32,108.6683,0.1428571,6.598812,33,92.50072,0.1290727,8.893938,24,110.1084,0.0651629,10.13946,36,125.7012,0.02506266,8.628106,39,92.12133,0.1716792,5.254294,34
ILMN_2789321,130.536,0.05263158,6.726764,50,135.8714,0.02506266,7.925577,42,128.9798,0.06140351,7.109864,39,153.8905,0.006265664,7.447083,55,121.537,0.05513784,7.315112,39,120.6257,0.05764411,7.886408,43,107.3656,0.03508772,4.73102,53,158.7326,0.00877193,8.675234,56,170.4138,0.003759399,7.420383,49,138.8997,0.05889724,8.746091,49,139.4867,0.007518797,7.107892,36,135.2478,0.04761905,7.745849,45,108.1371,0.04761905,6.324256,36,141.9678,0.005012531,8.009027,36,158.4242,0.003759399,8.916354,38,105.3442,0.09398496,6.686859,34
ILMN_2626300,307.0187,0,18.67922,40,314.3837,0,13.59858,43,436.6514,0,18.70188,32,415.0546,0,18.94966,35,345.7693,0,16.70146,35,298.3433,0,12.44781,48,255.586,0,13.8605,40,365.0215,0,21.32135,34,439.8211,0,22.41941,40,379.4859,0,25.86409,36,265.5864,0,12.80358,30,363.4258,0,13.68106,42,267.8976,0,14.85031,51,302.3656,0,12.25895,33,340.3979,0,20.25469,33,348.5267,0,16.3324,39
ILMN_1220430,503.9275,0,24.37236,35,438.2476,0,22.21343,29,570.7183,0,22.83967,40,488.9838,0,19.39215,41,549.7706,0,27.98073,39,466.0894,0,19.35161,40,325.4206,0,17.44603,48,545.4432,0,22.47582,50,641.2144,0,29.64055,40,633.1798,0,27.03288,42,414.7865,0,20.21137,33,459.1342,0,23.28391,41,342.8644,0,22.04278,38,421.5248,0,15.72762,41,519.2161,0,21.76204,38,412.9035,0,30.37188,42
